LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
TOMPKINS,WALGREENS EASTERN CO INC STORE #19684,330 PINE TREE ROAD,ITHACA,NY,14850,ITHACA,TOMPKINS,PHARMACY,11/10/2020,"330 PINE TREE ROAD
ITHACA, NY 14850
(42.43771001300007, -76.46575598799996)"
SUFFOLK,SPEEDWAY #07805,1801 NORTH OCEAN AVE,FARMINGVILLE,NY,11738,BROOKHAVEN,SUFFOLK,CONVENIENCE/GAS,11/10/2020,"1801 NORTH OCEAN AVE
FARMINGVILLE, NY 11738
(40.824947982000026, -73.02000496199997)"
NYC,452 GOURMET DELI CORP,452 WEST 238TH  STREET,BRONX,NY,10463,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"452 WEST 238TH  STREET
BRONX, NY 10463
(40.887199999000075, -73.90514198399995)"
NASSAU,"MOBIL / W. PARK AVENUE SERVICE CENTER, INC.",390 WEST PARK  AVENUE,LONG BEACH,NY,11561,LONG BEACH,NASSAU,CONVENIENCE/GAS,11/10/2020,"390 WEST PARK  AVENUE
LONG BEACH, NY 11561
(40.58810301600005, -73.67520399999995)"
ERIE,BOSTON DELI,9375 BOSTON STATE  ROAD,BOSTON,NY,14025,BOSTON,ERIE,DELICATESSEN,11/10/2020,"9375 BOSTON STATE  ROAD
BOSTON, NY 14025
(42.62882298000005, -78.73684598099999)"
NYC,EUGENE J OH,S/E/C EAST 57 ST & PARK AVENUE,NEW YORK,NY,10022,MANHATTAN,NEW YORK CITY,STAND,11/10/2020,"S/E/C EAST 57 ST & PARK AVENUE
NEW YORK, NY 10022
(40.761650028000076, -73.97082995299996)"
ERIE,FAMILY MARKET,302 GRANT STREET,BUFFALO,NY,14213,BUFFALO,ERIE,CONVENIENCE STORE,11/10/2020,"302 GRANT STREET
BUFFALO, NY 14213
(42.922239002000026, -78.89025098599996)"
NYC,ALI BABA CONVENIENCE STORE INC ( AMANDEEP S LAURA),328 EAST 14TH STREET,NEW YORK,NY,10003,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"328 EAST 14TH STREET
NEW YORK, NY 10003
(40.73170999600006, -73.98383397299995)"
NYC,JUAN A TEJADA,2179 WASHINGTON AVENUE,BRONX,NY,10457,BRONX,NEW YORK CITY,DELICATESSEN,11/10/2020,"2179 WASHINGTON AVENUE
BRONX, NY 10457
(40.85371999600005, -73.89444600499996)"
OSWEGO,KWIK FILL (PULASKI),3897 ROME ROAD,PULASKI,NY,13142,RICHLAND,OSWEGO,GAS STATION,11/10/2020,"3897 ROME ROAD
PULASKI, NY 13142
(43.56085398400006, -76.12435696499995)"
CLINTON,MOUNTAIN MART 109,7155  ROUTE 9,PLATTSBURGH,NY,12901,PLATTSBURGH,CLINTON,CONVENIENCE/GAS,11/10/2020,"7155  ROUTE 9
PLATTSBURGH, NY 12901
(44.72781498200004, -73.43575398099995)"
WESTCHESTER,ALOMARI GOURMET DELI CORP.,961 MCLEAN AVENUE,YONKERS,NY,10704,YONKERS,WESTCHESTER,DELICATESSEN,11/10/2020,"961 MCLEAN AVENUE
YONKERS, NY 10704
(40.90313509300006, -73.86605639599998)"
NYC,NOR CROSS BRONX INC,1719 CROSS BRONX EXPY,BRONX,NY,10460,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1719 CROSS BRONX EXPY
BRONX, NY 10460
(40.836610017000055, -73.87056897999997)"
BROOME,JAY'S ONE STOP,77 MAIN STREET,BINGHAMTON,NY,13905,BINGHAMTON,BROOME,CONVENIENCE/GAS,11/10/2020,"77 MAIN STREET
BINGHAMTON, NY 13905
(42.09949100000006, -75.92320000599995)"
ONONDAGA,SHEIKS SPECIALTY CIGARS,300 SOUTH MAIN STREET,NORTH SYRACUSE,NY,13212,CLAY,ONONDAGA,TOBACCO RETAIL,11/10/2020,"300 SOUTH MAIN STREET
NORTH SYRACUSE, NY 13212
(43.13355399000005, -76.13095402499994)"
NYC,"PRAMUKH 36, INC",6 WEST 36TH STREET,NEW YORK,NY,10018,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"6 WEST 36TH STREET
NEW YORK, NY 10018
(40.74986000100006, -73.98421501499996)"
NYC,882 FIRST AVE INC,882 1ST AVENUE,NEW YORK,NY,10022,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"882 1ST AVENUE
NEW YORK, NY 10022
(40.753630014000066, -73.96610297899997)"
NASSAU,7 ELEVEN ( STORE # 37531H ),1992 N JERUSALEM ROAD,NORTH BELLMORE,NY,11710,HEMPSTEAD,NASSAU,CONVENIENCE STORE,11/10/2020,"1992 N JERUSALEM ROAD
NORTH BELLMORE, NY 11710
(40.70087398000004, -73.55204702099996)"
GLENS FALLS DO,TOBACCO WORLD,148 SARATOGA   AVENUE,SOUTH GLENS FALLS,NY,12803,MOREAU,SARATOGA,TOBACCO RETAIL,11/10/2020,"148 SARATOGA   AVENUE
SOUTH GLENS FALLS, NY 12803
(43.28711498200005, -73.64029798399997)"
NYC,"PRAMUKH 326, INC",2 WEST 33RD STREET,NEW YORK,NY,10001,MANHATTAN,NEW YORK CITY,BAR/LOUNGE,11/10/2020,"2 WEST 33RD STREET
NEW YORK, NY 10001
(40.74782001400007, -73.98541798499997)"
NYC,A & H DISCOUNT INC,7201 20TH AVENUE,BROOKLYN,NY,11204,BROOKLYN,NEW YORK CITY,DISCOUNT STORE,11/10/2020,"7201 20TH AVENUE
BROOKLYN, NY 11204
(40.61240001600004, -73.98992803599998)"
MONROE,BRIGHTON X-PRESS MART,1738  MONROE AVENUE,ROCHESTER,NY,14618,BRIGHTON,MONROE,OTHER,11/10/2020,"1738  MONROE AVENUE
ROCHESTER, NY 14618
(43.12966101500007, -77.56769101999998)"
NYC,ALNABIL 85 DELI GROCERY CORP,971 PROSPECT  AVENUE,BRONX NY,NY,10459,BRONX,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"971 PROSPECT  AVENUE
BRONX NY, NY 10459
(40.82309998100004, -73.90040696299997)"
NYC,VBA ENTERPRISES INC,16-04 MOTT AVENUE,FAR ROCKAWAY,NY,11691,QUEENS,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"16-04 MOTT AVENUE
FAR ROCKAWAY, NY 11691
(40.602808018000076, -73.74961996199994)"
NYC,FOREST FRESH DELI GROCERY CORP,6302 FOREST AVENUE,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"6302 FOREST AVENUE
RIDGEWOOD, NY 11385
(40.710639987000036, -73.90517701999994)"
SUFFOLK,76 GAS,564 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,ISLIP,SUFFOLK,CONVENIENCE/GAS,11/10/2020,"564 MONTAUK HIGHWAY
WEST ISLIP, NY 11795
(40.69651899400003, -73.30663101399995)"
NYC,BARTOLOME GROCERY AND DELI CORP,4302 8TH AVENUE,BROOKLYN,NY,11232,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"4302 8TH AVENUE
BROOKLYN, NY 11232
(40.645030011000074, -73.99983997199996)"
TIOGA,FAMILY DOLLAR STORES OF NY,25 NORTH MAIN STREET,NEWARK VALLEY,NY,13811,NEWARK VALLEY,TIOGA,GROCERY SUPERMARKET,11/10/2020,"25 NORTH MAIN STREET
NEWARK VALLEY, NY 13811
(42.225250016000075, -76.18221003399998)"
NYC,SAINT JOHNS NATURAL FOODS INC.,323 SAINT JOHNS PLACE,BROOKLYN,NY,11238,BROOKLYN,NEW YORK CITY,OTHER,11/10/2020,"323 SAINT JOHNS PLACE
BROOKLYN, NY 11238
(40.67459000800005, -73.96707402299995)"
MONROE,SPEEDWAY #07714,719 ELMGROVE ROAD,GATES,NY,14606,GATES,MONROE,CONVENIENCE/GAS,11/10/2020,"719 ELMGROVE ROAD
GATES, NY 14606
(43.164860985000075, -77.73294099499998)"
ALBANY,FAMILY DOLLAR #1973,9W ROUTE,RAVENA,NY,12143,COEYMANS,ALBANY,DISCOUNT STORE,11/10/2020,"9W ROUTE
RAVENA, NY 12143
(42.50401829500004, -73.82105581599996)"
ERIE,ABSOLUTE VAPOR,4729 TRANSIT ROAD,DEPEW,NY,14043,CHEEKTOWAGA,ERIE,OTHER,11/10/2020,"4729 TRANSIT ROAD
DEPEW, NY 14043
(42.865465019000055, -78.69620003699998)"
ONEONTA DO,CATSKILL FOOD MART/TOBACCO,1122 BRIDGE APPROACH ROAD,CATSKILL,NY,12414,CATSKILL,GREENE,CONVENIENCE/GAS,11/10/2020,"1122 BRIDGE APPROACH ROAD
CATSKILL, NY 12414
(42.226615440000046, -73.86130526499994)"
NASSAU,STAR GAS,699 FULTON  AVENUE,HEMPSTEAD,NY,11550,HEMPSTEAD,NASSAU,GAS STATION,11/10/2020,"699 FULTON  AVENUE
HEMPSTEAD, NY 11550
(40.71277401900005, -73.60829596099995)"
NYC,MILKY WAY DELI CORP.,1669 RALPH AVENUE,BROOKLYN,NY,11236,BROOKLYN,NEW YORK CITY,DELICATESSEN,11/10/2020,"1669 RALPH AVENUE
BROOKLYN, NY 11236
(40.63613999700004, -73.91882200399994)"
SARANAC LAKE DO,STEWARTS,97 SARANAC AVENUE,LAKE PLACID,NY,12946,NO. ELBA,ESSEX,CONVENIENCE/GAS,11/10/2020,"97 SARANAC AVENUE
LAKE PLACID, NY 12946
(44.29520894500007, -73.99781804399998)"
MONROE,KWIKFILL,1835 MT. HOPE AVENUE,ROCHESTER,NY,14620,ROCHESTER,MONROE,CONVENIENCE/GAS,11/10/2020,"1835 MT. HOPE AVENUE
ROCHESTER, NY 14620
(43.11426400400006, -77.62317997299994)"
NYC,SUSY GROCERY CORP,769 LIBERTY  AVENUE,BROOKLYN,NY,11208,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"769 LIBERTY  AVENUE
BROOKLYN, NY 11208
(40.676740008000024, -73.88130996999996)"
NYC,TRAMWAY CONVENIENCE INC,1147 2ND AVENUE,NEW YORK,NY,10065,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1147 2ND AVENUE
NEW YORK, NY 10065
(40.761460010000064, -73.96394899799998)"
MONROE,WISEGUYS SMOKESHOP,746 ELMGROVE ROAD,ROCHESTER,NY,14624,GATES,MONROE,TOBACCO RETAIL,11/10/2020,"746 ELMGROVE ROAD
ROCHESTER, NY 14624
(43.16265700500003, -77.73174003599996)"
NYC,GIFTS OF AMERICA INC.,36 CENTRAL PARK S,NEW YORK,NY,10019,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"36 CENTRAL PARK S
NEW YORK, NY 10019
(40.765100019000045, -73.97524797099999)"
HERKIMER DO,NICE-N-EASY #1401,412 EAST STATE STREET,HERKIMER,NY,13350,HERKIMER,HERKIMER,CONVENIENCE/GAS,11/10/2020,"412 EAST STATE STREET
HERKIMER, NY 13350
(43.027918724000074, -74.97931614399994)"
NYC,COOPER DELI GROCERY CORP,64-55 COOPER AVENUE,GLENDALE,NY,11385,QUEENS,NEW YORK CITY,DELICATESSEN,11/10/2020,"64-55 COOPER AVENUE
GLENDALE, NY 11385
(40.69848999900006, -73.89008297299995)"
MONROE,FASTRAC,672 EAST MAIN STREET,ROCHESTER,NY,14605,ROCHESTER,MONROE,CONVENIENCE/GAS,11/10/2020,"672 EAST MAIN STREET
ROCHESTER, NY 14605
(43.16035399400005, -77.59473196099998)"
CLINTON,X-PRESS MART,63 BRIDGE STREET,PLATTSBURGH,NY,12901,PLATTSBURGH,CLINTON,CONVENIENCE/GAS,11/10/2020,"63 BRIDGE STREET
PLATTSBURGH, NY 12901
(44.69761200900007, -73.45003699599994)"
NYC,BEDFORD 101 FOOD CORP.,101 BEDFORD AVENUE,BROOKLYN,NY,11211,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"101 BEDFORD AVENUE
BROOKLYN, NY 11211
(40.720159985000066, -73.95505102099997)"
NYC,MERRIAM FOOD CENTER CORP,1440 UNIVERSITY AVENUE,BRONX,NY,10452,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1440 UNIVERSITY AVENUE
BRONX, NY 10452
(40.84362411500007, -73.92436433099994)"
NYC,999 GOURMET DELI CORP,1142    STANLEY   AVENUE,BROOKLYN,NY,11208,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"1142    STANLEY   AVENUE
BROOKLYN, NY 11208
(40.66538001400005, -73.86730095999997)"
ULSTER,WALGREENS #02077,316 BROADWAY,KINGSTON,NY,12401,KINGSTON,ULSTER,PHARMACY,11/10/2020,"316 BROADWAY
KINGSTON, NY 12401
(41.92587898700003, -73.99143300699996)"
NYC,DNY NATURAL LAND INC,322 FLATBUSH AVENUE,BROOKLYN,NY,11238,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"322 FLATBUSH AVENUE
BROOKLYN, NY 11238
(40.67702998000004, -73.97258302799997)"
NYC,OMAR GOURMET DELI CORP,1800 CEDAR AVENUE,BRONX,NY,10453,BRONX,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"1800 CEDAR AVENUE
BRONX, NY 10453
(40.85240001400007, -73.92034097299995)"
NYC,80TH STREET DELI INC,8014 5TH AVENUE,BROOKLYN,NY,11209,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"8014 5TH AVENUE
BROOKLYN, NY 11209
(40.62545998500008, -74.02445301099993)"
ORANGE,PARK CIRCLE CONVENIENCE,203 NORTH STREET,MIDDLETOWN,NY,10940,ORANGE COUNTY,ORANGE,CONVENIENCE/GAS,11/10/2020,"203 NORTH STREET
MIDDLETOWN, NY 10940
(41.45049599500004, -74.41709798499994)"
CHAUTAUQUA,D & M CORNER STORE,512 WEST 7TH  STREET,JAMESTOWN,NY,14701,ELLICOTT,CHAUTAUQUA,CONVENIENCE STORE,11/10/2020,"512 WEST 7TH  STREET
JAMESTOWN, NY 14701
(42.098882013000036, -79.24930397399999)"
NASSAU,THE BARN / 241 GFG EXPRESS LLC,241  HEMPSTEAD AVENUE,LYNBROOK,NY,11563,HEMPSTEAD,NASSAU,CONVENIENCE STORE,11/10/2020,"241  HEMPSTEAD AVENUE
LYNBROOK, NY 11563
(40.66572601900003, -73.67138897699994)"
NASSAU,RAINBOW FAMILY CENTER / RAINBOW RETAIL ENTERPRISE,683 MIDDLE NECK  ROAD,GREAT NECK,NY,11023,N. HEMPSTEAD,NASSAU,CONVENIENCE STORE,11/10/2020,"683 MIDDLE NECK  ROAD
GREAT NECK, NY 11023
(40.80529401100006, -73.73493796899999)"
DUTCHESS,RAO CITGO,2551-2553 ROUTE 44,SALT POINT,NY,12578,PLEASANT VALLEY,DUTCHESS,GAS STATION,11/10/2020,"2551-2553 ROUTE 44
SALT POINT, NY 12578
(41.78197101300003, -73.75356096499996)"
WESTCHESTER,"ANDREAS FOOD MARKET, INC.",41 LAKE STREET,WHITE PLAINS,NY,10603,WHITE PLAINS,WESTCHESTER,GROCERY SUPERMARKET,11/10/2020,"41 LAKE STREET
WHITE PLAINS, NY 10603
(41.03813699500006, -73.75986197699996)"
NYC,FRESH DELI AND GROCERY 1 CORP,6274 FRESH POND ROAD,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"6274 FRESH POND ROAD
RIDGEWOOD, NY 11385
(40.711949994000065, -73.90040696299997)"
NYC,LEXINGTON AVENUE NEWS INC,1248 LEXINGTON AVENUE,NEW YORK,NY,10028,MANHATTAN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"1248 LEXINGTON AVENUE
NEW YORK, NY 10028
(40.77841002100007, -73.95654501099995)"
NYC,23-34 94TH ST. GROCERY CORP.,23-34 94TH STREET,EAST ELMHURST,NY,11369,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"23-34 94TH STREET
EAST ELMHURST, NY 11369
(40.767170014000044, -73.87621695799999)"
NYC,10TH AVENUE PETROLEUM LLC,466 10TH AVENUE,NEW YORK,NY,10018,MANHATTAN,NEW YORK CITY,CONVENIENCE/GAS,11/10/2020,"466 10TH AVENUE
NEW YORK, NY 10018
(40.75604999500007, -73.99769202499994)"
NYC,JCHE INC,262 NASSAU AVENUE,BROOKLYN,NY,11222,BROOKLYN,NEW YORK CITY,DELICATESSEN,11/10/2020,"262 NASSAU AVENUE
BROOKLYN, NY 11222
(40.725889979000044, -73.94057396499994)"
SCHOHARIE,LOG HOUSE MINI MART,590 HIGHWAY ROUTE 20,SHARON SPRINGS,NY,13459,SHARON,SCHOHARIE,CONVENIENCE/GAS,11/10/2020,"590 HIGHWAY ROUTE 20
SHARON SPRINGS, NY 13459
(42.787878016000036, -74.61712003399998)"
NYC,41 GROCERY DELI & GRILL CORP,41 NEW LOTS  AVENUE,BROOKLYN,NY,11212,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"41 NEW LOTS  AVENUE
BROOKLYN, NY 11212
(40.657329993000076, -73.90349703599998)"
NYC,JAMAICA DELI INC,17946  HILLSIDE AVENUE,JAMAICA,NY,1143,QUEENS,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"17946  HILLSIDE AVENUE
JAMAICA, NY 1143
(40.71275000500003, -73.78271900799996)"
NYC,"CUEVAS, DAIRO T.",676 LIBERTY AVENUE,BROOKLYN,NY,11208,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"676 LIBERTY AVENUE
BROOKLYN, NY 11208
(40.67605001000004, -73.88469902499997)"
SUFFOLK,BOCCE BEACH,927 EVERGREEN WALK,OCEAN BEACH,NY,11770,ISLIP,SUFFOLK,RESTAURANT/ATUPA,11/10/2020,"927 EVERGREEN WALK
OCEAN BEACH, NY 11770
(40.64928298800004, -73.15525602199995)"
NYC,I-SMOKE & GROCERY INC,141 4TH AVENUE,NEW YORK,NY,10003,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"141 4TH AVENUE
NEW YORK, NY 10003
(40.73387001200007, -73.98964497899993)"
NYC,CLINTON NOVELTIES CORP.,20 CLINTON STREET,NEW YORK,NY,10002,MANHATTAN,NEW YORK CITY,TOBACCO RETAIL,11/10/2020,"20 CLINTON STREET
NEW YORK, NY 10002
(40.72071997900008, -73.98411602399995)"
